	734.6	OPEN LONG	none	muted
2026-05-24T08:30:49.256Z	747.3	LAST CLOSE	0.9770	info
2026-05-24T08:30:49.257Z	747.4	TICK SIZE	0.001000	info
2026-05-24T08:30:49.257Z	747.5	inOsc / dir	false / LONG	muted
2026-05-24T08:30:49.258Z	747.6	OPEN LONG	none	muted
2026-05-24T08:30:49.259Z	747.7	OPEN SHORT	none	muted
2026-05-24T08:30:49.259Z	747.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:30:49.260Z	747.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:30:49.260Z	747.TP2	OSC RESET	c3 0.9770 ≠ P1a 0.9760 → restart	muted
2026-05-24T08:30:49.261Z	747.9	OSC COUNTER	0/3 · step=1/6	muted
2026-05-24T08:30:49.261Z	747.10	WAITING FOR BAND	A-B-A-B-A-B · step 1/6 · counter=0/3	muted
2026-05-24T08:30:49.264Z	747.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:31:09.267Z	748.1	POLL START	fetching 4 candles	muted
2026-05-24T08:31:10.144Z	748.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:31:10.145Z	748.3	LAST CLOSE	0.9770	info
2026-05-24T08:31:10.146Z	748.4	TICK SIZE	0.001000	info
2026-05-24T08:31:10.147Z	748.5	inOsc / dir	false / LONG	muted
2026-05-24T08:31:10.147Z	748.6	OPEN LONG	none	muted
2026-05-24T08:31:10.148Z	748.7	OPEN SHORT	none	muted
2026-05-24T08:31:10.149Z	748.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:31:10.149Z	748.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:31:10.149Z	748.TP2	OSC 1/6	P1a=0.9770 — waiting for P1b	muted
2026-05-24T08:31:10.150Z	748.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9770	muted
2026-05-24T08:31:10.150Z	748.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:31:10.153Z	748.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:31:30.157Z	749.1	POLL START	fetching 4 candles	muted
2026-05-24T08:31:30.727Z	749.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:31:30.728Z	749.3	LAST CLOSE	0.9780	info
2026-05-24T08:31:30.729Z	749.4	TICK SIZE	0.001000	info
2026-05-24T08:31:30.730Z	749.5	inOsc / dir	false / LONG	muted
2026-05-24T08:31:30.730Z	749.6	OPEN LONG	none	muted
2026-05-24T08:31:30.731Z	749.7	OPEN SHORT	none	muted
2026-05-24T08:31:30.732Z	749.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:31:30.732Z	749.TP1	TICK-PAIR CLOSE	0.9780 → tick 0.9780	info
2026-05-24T08:31:30.733Z	749.TP2	OSC 2/6	P1a=0.9770 P1b=0.9780 counter=1 — need c3=P1a	warn
2026-05-24T08:31:30.733Z	749.9	OSC COUNTER	1/3 · step=3/6 P1a=0.9770 P1b=0.9780	muted
2026-05-24T08:31:30.734Z	749.10	WAITING FOR BAND	A-B-A-B-A-B · step 3/6 · counter=1/3	muted
2026-05-24T08:31:30.736Z	749.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:31:50.741Z	750.1	POLL START	fetching 4 candles	muted
2026-05-24T08:31:51.232Z	750.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:31:51.233Z	750.3	LAST CLOSE	0.9770	info
2026-05-24T08:31:51.234Z	750.4	TICK SIZE	0.001000	info
2026-05-24T08:31:51.235Z	750.5	inOsc / dir	false / LONG	muted
2026-05-24T08:31:51.235Z	750.6	OPEN LONG	none	muted
2026-05-24T08:31:51.236Z	750.7	OPEN SHORT	none	muted
2026-05-24T08:31:51.236Z	750.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:31:51.237Z	750.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:31:51.237Z	750.TP2	OSC 3/6	c3=P1a ✓ counter=2 — need c4=P1b	warn
2026-05-24T08:31:51.238Z	750.9	OSC COUNTER	2/3 · step=4/6 P1a=0.9770 P1b=0.9780	muted
2026-05-24T08:31:51.238Z	750.10	WAITING FOR BAND	A-B-A-B-A-B · step 4/6 · counter=2/3	muted
2026-05-24T08:31:51.240Z	750.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:32:11.245Z	751.1	POLL START	fetching 4 candles	muted
2026-05-24T08:32:11.815Z	751.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:32:11.817Z	751.3	LAST CLOSE	0.9770	info
2026-05-24T08:32:11.817Z	751.4	TICK SIZE	0.001000	info
2026-05-24T08:32:11.818Z	751.5	inOsc / dir	false / LONG	muted
2026-05-24T08:32:11.819Z	751.6	OPEN LONG	none	muted
2026-05-24T08:32:11.819Z	751.7	OPEN SHORT	none	muted
2026-05-24T08:32:11.820Z	751.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:32:11.820Z	751.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:32:11.821Z	751.TP2	OSC RESET	c4 0.9770 ≠ P1b 0.9780 → restart	muted
2026-05-24T08:32:11.821Z	751.9	OSC COUNTER	0/3 · step=1/6	muted
2026-05-24T08:32:11.822Z	751.10	WAITING FOR BAND	A-B-A-B-A-B · step 1/6 · counter=0/3	muted
2026-05-24T08:32:11.824Z	751.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:32:31.828Z	752.1	POLL START	fetching 4 candles	muted
2026-05-24T08:32:32.400Z	752.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:32:32.401Z	752.3	LAST CLOSE	0.9760	info
2026-05-24T08:32:32.402Z	752.4	TICK SIZE	0.001000	info
2026-05-24T08:32:32.402Z	752.5	inOsc / dir	false / LONG	muted
2026-05-24T08:32:32.403Z	752.6	OPEN LONG	none	muted
2026-05-24T08:32:32.403Z	752.7	OPEN SHORT	none	muted
